#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Grb2	Pdgfra	2095072	2093116	10090.ENSMUSP00000021090	10090.ENSMUSP00000000476	0	0	0	0	0.049	0.181	0.950	0.319	0.970
Pdgfc	Pdgfra	2097594	2093116	10090.ENSMUSP00000029652	10090.ENSMUSP00000000476	0	0	0	0	0	0.111	0.901	0.692	0.970
Hras1	Pdgfra	2096663	2093116	10090.ENSMUSP00000026572	10090.ENSMUSP00000000476	0	0	0	0	0.046	0.167	0.933	0.495	0.969
Kras	Pdgfra	2098474	2093116	10090.ENSMUSP00000032399	10090.ENSMUSP00000000476	0	0	0	0	0.046	0.167	0.933	0.482	0.968
Crkl	Pdgfra	2093788	2093116	10090.ENSMUSP00000006293	10090.ENSMUSP00000000476	0	0	0	0	0.051	0.231	0.950	0.222	0.968
Crk	Pdgfra	2094469	2093116	10090.ENSMUSP00000017920	10090.ENSMUSP00000000476	0	0	0	0	0.051	0.221	0.950	0.187	0.966
Pdgfc	Pdgfb	2097594	2093117	10090.ENSMUSP00000029652	10090.ENSMUSP00000000500	0	0	0	0	0.079	0	0.900	0.663	0.966
Grb2	Pdgfb	2095072	2093117	10090.ENSMUSP00000021090	10090.ENSMUSP00000000500	0	0	0	0	0	0	0.950	0.310	0.964
Pik3r1	Pdgfb	2103300	2093117	10090.ENSMUSP00000056774	10090.ENSMUSP00000000500	0	0	0	0	0	0	0.950	0.219	0.959
Crk	Crkl	2094469	2093788	10090.ENSMUSP00000017920	10090.ENSMUSP00000006293	0	0	0	0.962	0.077	0.111	0.950	0.758	0.957
Crk	Pdgfb	2094469	2093117	10090.ENSMUSP00000017920	10090.ENSMUSP00000000500	0	0	0	0	0.051	0	0.950	0.171	0.957
Pik3r1	Crk	2103300	2094469	10090.ENSMUSP00000056774	10090.ENSMUSP00000017920	0	0	0	0	0.054	0.392	0.901	0.310	0.955
Pik3ca	Pdgfb	2097448	2093117	10090.ENSMUSP00000029201	10090.ENSMUSP00000000500	0	0	0	0	0	0	0.950	0.120	0.954
Crkl	Pdgfb	2093788	2093117	10090.ENSMUSP00000006293	10090.ENSMUSP00000000500	0	0	0	0	0.051	0	0.938	0.045	0.939
Pdgfa	Pdgfc	2106260	2097594	10090.ENSMUSP00000075463	10090.ENSMUSP00000029652	0	0	0	0	0.076	0	0.800	0.671	0.934
Pik3ca	Crk	2097448	2094469	10090.ENSMUSP00000029201	10090.ENSMUSP00000017920	0	0	0	0	0.120	0.061	0.901	0.277	0.933
Pdgfa	Pdgfb	2106260	2093117	10090.ENSMUSP00000075463	10090.ENSMUSP00000000500	0	0	0	0.896	0.067	0.107	0.901	0.872	0.918
Kras	Hras1	2098474	2096663	10090.ENSMUSP00000032399	10090.ENSMUSP00000026572	0	0	0.527	0.982	0	0	0.900	0.644	0.902
Pik3r1	Crkl	2103300	2093788	10090.ENSMUSP00000056774	10090.ENSMUSP00000006293	0	0	0	0	0.054	0.501	0.528	0.254	0.811
Pik3ca	Crkl	2097448	2093788	10090.ENSMUSP00000029201	10090.ENSMUSP00000006293	0	0	0	0	0.075	0.305	0.528	0.227	0.734
Kras	Crk	2098474	2094469	10090.ENSMUSP00000032399	10090.ENSMUSP00000017920	0	0	0	0	0.126	0.045	0.231	0.628	0.730
Hras1	Crk	2096663	2094469	10090.ENSMUSP00000026572	10090.ENSMUSP00000017920	0	0	0	0	0.090	0.045	0.231	0.639	0.726
Grb2	Crkl	2095072	2093788	10090.ENSMUSP00000021090	10090.ENSMUSP00000006293	0	0	0	0.714	0.052	0.106	0.528	0.714	0.652
Pdgfa	Grb2	2106260	2095072	10090.ENSMUSP00000075463	10090.ENSMUSP00000021090	0	0	0	0	0	0	0.528	0.284	0.648
Hras1	Crkl	2096663	2093788	10090.ENSMUSP00000026572	10090.ENSMUSP00000006293	0	0	0	0	0.067	0.045	0.231	0.496	0.608
Pdgfa	Pik3ca	2106260	2097448	10090.ENSMUSP00000075463	10090.ENSMUSP00000029201	0	0	0	0	0	0	0.528	0.196	0.604
Kras	Crkl	2098474	2093788	10090.ENSMUSP00000032399	10090.ENSMUSP00000006293	0	0	0	0	0.067	0.045	0.231	0.484	0.599
Pdgfa	Pik3r1	2106260	2103300	10090.ENSMUSP00000075463	10090.ENSMUSP00000056774	0	0	0	0	0	0	0.528	0.186	0.599
Grb2	Crk	2095072	2094469	10090.ENSMUSP00000021090	10090.ENSMUSP00000017920	0	0	0	0.739	0.052	0.111	0.409	0.826	0.574
Pdgfa	Hras1	2106260	2096663	10090.ENSMUSP00000075463	10090.ENSMUSP00000026572	0	0	0	0	0.075	0	0	0.445	0.465
Pdgfa	Kras	2106260	2098474	10090.ENSMUSP00000075463	10090.ENSMUSP00000032399	0	0	0	0	0	0	0	0.422	0.422
