Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P42330	AK1C3_HUMAN	reviewed	Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS	Homo sapiens (Human)	323
P11413	G6PD_HUMAN	reviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	G6PD	Homo sapiens (Human)	515
P08684	CP3A4_HUMAN	reviewed	Cytochrome P450 3A4 (EC 1.14.14.-) (1,8-cineole 2-exo-monooxygenase) (EC 1.14.14.56) (Albendazole monooxygenase (sulfoxide-forming)) (EC 1.14.14.73) (Albendazole sulfoxidase) (CYPIIIA3) (CYPIIIA4) (Cholesterol 25-hydroxylase) (EC 1.14.14.-) (Cytochrome P450 3A3) (Cytochrome P450 HLp) (Cytochrome P450 NF-25) (Cytochrome P450-PCN1) (Nifedipine oxidase) (Quinine 3-monooxygenase) (EC 1.14.14.55) (Taurochenodeoxycholate 6-alpha-hydroxylase) (EC 1.14.14.-)	CYP3A4 CYP3A3	Homo sapiens (Human)	503
P11712	CP2C9_HUMAN	reviewed	Cytochrome P450 2C9 (EC 1.14.14.-) ((R)-limonene 6-monooxygenase) (EC 1.14.14.53) ((S)-limonene 6-monooxygenase) (EC 1.14.14.51) ((S)-limonene 7-monooxygenase) (EC 1.14.14.52) (CYPIIC9) (Cholesterol 25-hydroxylase) (EC 1.14.14.-) (Cytochrome P-450MP) (Cytochrome P450 MP-4) (Cytochrome P450 MP-8) (Cytochrome P450 PB-1) (S-mephenytoin 4-hydroxylase)	CYP2C9 CYP2C10	Homo sapiens (Human)	490
O43704	ST1B1_HUMAN	reviewed	Sulfotransferase family cytosolic 1B member 1 (ST1B1) (Sulfotransferase 1B1) (EC 2.8.2.-) (Sulfotransferase 1B2) (ST1B2) (Thyroid hormone sulfotransferase)	SULT1B1 ST1B2 SULT1B2	Homo sapiens (Human)	296
P49675	STAR_HUMAN	reviewed	Steroidogenic acute regulatory protein, mitochondrial (StAR) (START domain-containing protein 1) (StARD1)	STAR STARD1	Homo sapiens (Human)	285
P22309	UD11_HUMAN	reviewed	UDP-glucuronosyltransferase 1-1 (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 1) (hUG-BR1) (UDP-glucuronosyltransferase 1-A) (UGT-1A) (UGT1A) (UDP-glucuronosyltransferase 1A1)	UGT1A1 GNT1 UGT1	Homo sapiens (Human)	533
Q9HAW9	UD18_HUMAN	reviewed	UDP-glucuronosyltransferase 1-8 (UDPGT 1-8) (UGT1*8) (UGT1-08) (UGT1.8) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-H) (UGT-1H) (UGT1H) (UDP-glucuronosyltransferase 1A8)	UGT1A8 GNT1 UGT1	Homo sapiens (Human)	530
P50225	ST1A1_HUMAN	reviewed	Sulfotransferase 1A1 (ST1A1) (EC 2.8.2.1) (Aryl sulfotransferase 1) (HAST1/HAST2) (Phenol sulfotransferase 1) (Phenol-sulfating phenol sulfotransferase 1) (P-PST 1) (ST1A3) (Thermostable phenol sulfotransferase) (Ts-PST)	SULT1A1 STP STP1 OK/SW-cl.88	Homo sapiens (Human)	295
Q13131	AAPK1_HUMAN	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	Homo sapiens (Human)	559
P02647	APOA1_HUMAN	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	APOA1	Homo sapiens (Human)	267
P31751	AKT2_HUMAN	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481
Q04828	AK1C1_HUMAN	reviewed	Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1/2) (DD1/DD2) (High-affinity hepatic bile acid-binding protein) (HBAB) (Indanol dehydrogenase) (EC 1.1.1.112) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)	AKR1C1 DDH DDH1	Homo sapiens (Human)	323
P01308	INS_HUMAN	reviewed	Insulin [Cleaved into: Insulin B chain; Insulin A chain]	INS	Homo sapiens (Human)	110
P51659	DHB4_HUMAN	reviewed	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MPF-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]	HSD17B4 EDH17B4 SDR8C1	Homo sapiens (Human)	736
P07101	TY3H_HUMAN	reviewed	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)	TH TYH	Homo sapiens (Human)	528
P15309	PPAP_HUMAN	reviewed	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACPP	Homo sapiens (Human)	386
Q07869	PPARA_HUMAN	reviewed	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	PPARA NR1C1 PPAR	Homo sapiens (Human)	468
P37231	PPARG_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG NR1C3	Homo sapiens (Human)	505
Q9UQK1	PPR3C_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3C (Protein phosphatase 1 regulatory subunit 5) (PP1 subunit R5) (Protein targeting to glycogen) (PTG)	PPP1R3C PPP1R5	Homo sapiens (Human)	317
O95685	PPR3D_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3D (Protein phosphatase 1 regulatory subunit 6) (PP1 subunit R6) (Protein phosphatase 1-binding subunit R6)	PPP1R3D PPP1R6	Homo sapiens (Human)	299
Q9H7J1	PPR3E_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3E	PPP1R3E	Homo sapiens (Human)	279
P78562	PHEX_HUMAN	reviewed	Phosphate-regulating neutral endopeptidase PHEX (EC 3.4.24.-) (Metalloendopeptidase homolog PEX) (Vitamin D-resistant hypophosphatemic rickets protein) (X-linked hypophosphatemia protein) (HYP)	PHEX PEX	Homo sapiens (Human)	749
Q53H76	PLA1A_HUMAN	reviewed	Phospholipase A1 member A (EC 3.1.1.-) (Phosphatidylserine-specific phospholipase A1) (PS-PLA1)	PLA1A NMD PSPLA1	Homo sapiens (Human)	456
O60568	PLOD3_HUMAN	reviewed	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]	PLOD3	Homo sapiens (Human)	738
Q0VAA5	PLCX2_HUMAN	reviewed	PI-PLC X domain-containing protein 2	PLCXD2	Homo sapiens (Human)	305
Q16821	PPR3A_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1)	PPP1R3A PP1G	Homo sapiens (Human)	1122
Q86XI6	PPR3B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3B (Hepatic glycogen-targeting protein phosphatase 1 regulatory subunit GL) (Protein phosphatase 1 regulatory subunit 4) (PP1 subunit R4) (Protein phosphatase 1 subunit GL) (PTG)	PPP1R3B PPP1R4	Homo sapiens (Human)	285
P30044	PRDX5_HUMAN	reviewed	Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20)	PRDX5 ACR1 SBBI10	Homo sapiens (Human)	214
P60891	PRPS1_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	PRPS1	Homo sapiens (Human)	318
P11908	PRPS2_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II)	PRPS2	Homo sapiens (Human)	318
Q6P1J6	PLB1_HUMAN	reviewed	Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Phospholipase B/lipase) (PLB/LIP) [Includes: Phospholipase A2 (EC 3.1.1.4); Lysophospholipase (EC 3.1.1.5)]	PLB1 PLB	Homo sapiens (Human)	1458
Q96BZ4	PLD4_HUMAN	reviewed	Phospholipase D4 (PLD 4) (EC 3.1.4.4) (Choline phosphatase 4) (Phosphatidylcholine-hydrolyzing phospholipase D4)	PLD4 C14orf175 UNQ2488/PRO5775	Homo sapiens (Human)	506
O15120	PLCB_HUMAN	reviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)	AGPAT2	Homo sapiens (Human)	278
Q9BRC7	PLCD4_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 (hPLCD4) (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-4) (Phospholipase C-delta-4) (PLC-delta-4)	PLCD4	Homo sapiens (Human)	762
Q7Z2D5	PLPR4_HUMAN	reviewed	Phospholipid phosphatase-related protein type 4 (EC 3.1.3.4) (Brain-specific phosphatidic acid phosphatase-like protein 1) (Lipid phosphate phosphatase-related protein type 4) (Plasticity-related gene 1 protein) (PRG-1)	PLPPR4 KIAA0455 LPPR4 PHP1 PRG1	Homo sapiens (Human)	763
Q13522	PPR1A_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 1A (Protein phosphatase inhibitor 1) (I-1) (IPP-1)	PPP1R1A IPP1	Homo sapiens (Human)	171
Q13546	RIPK1_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)	RIPK1 RIP RIP1	Homo sapiens (Human)	671
P32119	PRDX2_HUMAN	reviewed	Peroxiredoxin-2 (EC 1.11.1.15) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)	PRDX2 NKEFB TDPX1	Homo sapiens (Human)	198
Q9H237	PORCN_HUMAN	reviewed	Protein-serine O-palmitoleoyltransferase porcupine (EC 2.3.1.-) (Protein MG61)	PORCN MG61 PORC PPN	Homo sapiens (Human)	461
Q9H8P0	PORED_HUMAN	reviewed	Polyprenol reductase (EC 1.3.1.94) (3-oxo-5-alpha-steroid 4-dehydrogenase 3) (EC 1.3.1.22) (Steroid 5-alpha-reductase 2-like) (Steroid 5-alpha-reductase 3) (S5AR 3) (SR type 3)	SRD5A3 SRD5A2L	Homo sapiens (Human)	318
Q9UHV8	PP13_HUMAN	reviewed	Galactoside-binding soluble lectin 13 (Galectin-13) (Gal-13) (Placental tissue protein 13) (PP13) (Placental protein 13)	LGALS13 PLAC8	Homo sapiens (Human)	139
P67775	PP2AA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C)	PPP2CA	Homo sapiens (Human)	309
Q9BXM7	PINK1_HUMAN	reviewed	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	581
Q63HM9	PLCX3_HUMAN	reviewed	PI-PLC X domain-containing protein 3	PLCXD3	Homo sapiens (Human)	321
P00747	PLMN_HUMAN	reviewed	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]	PLG	Homo sapiens (Human)	810
Q6ZV29	PLPL7_HUMAN	reviewed	Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-)	PNPLA7 C9orf111	Homo sapiens (Human)	1317
O60733	PLPL9_HUMAN	reviewed	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)	PLA2G6 PLPLA9	Homo sapiens (Human)	806
Q96GM1	PLPR2_HUMAN	reviewed	Phospholipid phosphatase-related protein type 2 (EC 3.1.3.4) (Lipid phosphate phosphatase-related protein type 2) (Plasticity-related gene 4 protein) (PRG-4)	PLPPR2 LPPR2 PRG4	Homo sapiens (Human)	343
Q13162	PRDX4_HUMAN	reviewed	Peroxiredoxin-4 (EC 1.11.1.15) (Antioxidant enzyme AOE372) (AOE37-2) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372)	PRDX4	Homo sapiens (Human)	271
O43272	PROD_HUMAN	reviewed	Proline dehydrogenase 1, mitochondrial (EC 1.5.5.2) (Proline oxidase) (Proline oxidase 2) (p53-induced gene 6 protein)	PRODH PIG6 POX2 PRODH2	Homo sapiens (Human)	600
O15067	PUR4_HUMAN	reviewed	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	PFAS KIAA0361	Homo sapiens (Human)	1338
Q96I23	PREY_HUMAN	reviewed	Protein preY, mitochondrial (PIGY upstream reading frame protein)	PYURF PREY	Homo sapiens (Human)	114
Q92932	PTPR2_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60]	PTPRN2 KIAA0387	Homo sapiens (Human)	1015
Q8N142	PURA1_HUMAN	reviewed	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (IMP--aspartate ligase 1)	ADSSL1 ADSS1	Homo sapiens (Human)	457
Q7LG56	RIR2B_HUMAN	reviewed	Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)	RRM2B P53R2	Homo sapiens (Human)	351
Q8TCU6	PREX1_HUMAN	reviewed	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)	PREX1 KIAA1415	Homo sapiens (Human)	1659
Q9UBK2	PRGC1_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6)	PPARGC1A LEM6 PGC1 PGC1A PPARGC1	Homo sapiens (Human)	798
P04070	PROC_HUMAN	reviewed	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]	PROC	Homo sapiens (Human)	461
P23468	PTPRD_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)	PTPRD	Homo sapiens (Human)	1912
Q06203	PUR1_HUMAN	reviewed	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPAT)	PPAT GPAT	Homo sapiens (Human)	517
P26022	PTX3_HUMAN	reviewed	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	PTX3 TNFAIP5 TSG14	Homo sapiens (Human)	381
Q96S44	PRPK_HUMAN	reviewed	EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	TP53RK C20orf64 PRPK	Homo sapiens (Human)	253
P21108	PRPS3_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 3 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 1-like 1) (PRPS1-like 1) (Phosphoribosyl pyrophosphate synthase III) (PRS-III)	PRPS1L1 PRPS3 PRPSL	Homo sapiens (Human)	318
P81277	PRRP_HUMAN	reviewed	Prolactin-releasing peptide (PrRP) (Prolactin-releasing hormone) [Cleaved into: Prolactin-releasing peptide PrRP31; Prolactin-releasing peptide PrRP20]	PRLH PRH	Homo sapiens (Human)	87
O95084	PRS23_HUMAN	reviewed	Serine protease 23 (EC 3.4.21.-) (Putative secreted protein Zsig13)	PRSS23 ZSIG13 UNQ270/PRO307	Homo sapiens (Human)	383
Q9UJZ1	STML2_HUMAN	reviewed	Stomatin-like protein 2, mitochondrial (SLP-2) (EPB72-like protein 2) (Paraprotein target 7) (Paratarg-7)	STOML2 SLP2 HSPC108	Homo sapiens (Human)	356
Q5TAX3	TUT4_HUMAN	reviewed	Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11)	TUT4 KIAA0191 ZCCHC11	Homo sapiens (Human)	1644
Q5VYS8	TUT7_HUMAN	reviewed	Terminal uridylyltransferase 7 (TUTase 7) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 6)	TUT7 HS2 KIAA1711 ZCCHC6	Homo sapiens (Human)	1495
P35610	SOAT1_HUMAN	reviewed	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT	Homo sapiens (Human)	550
Q9UBP0	SPAST_HUMAN	reviewed	Spastin (EC 5.6.1.1) (Spastic paraplegia 4 protein)	SPAST ADPSP FSP2 KIAA1083 SPG4	Homo sapiens (Human)	616
A1X283	SPD2B_HUMAN	reviewed	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	Homo sapiens (Human)	911
Q06520	ST2A1_HUMAN	reviewed	Bile salt sulfotransferase (EC 2.8.2.14) (Dehydroepiandrosterone sulfotransferase) (DHEA-ST) (Hydroxysteroid Sulfotransferase) (HST) (ST2) (ST2A3) (Sulfotransferase 2A1) (ST2A1)	SULT2A1 HST STD	Homo sapiens (Human)	285
P0DMM9	ST1A3_HUMAN	reviewed	Sulfotransferase 1A3 (ST1A3) (EC 2.8.2.1) (Aryl sulfotransferase 1A3/1A4) (Catecholamine-sulfating phenol sulfotransferase) (HAST3) (M-PST) (Monoamine-sulfating phenol sulfotransferase) (Placental estrogen sulfotransferase) (Sulfotransferase 1A3/1A4) (Sulfotransferase, monoamine-preferring) (Thermolabile phenol sulfotransferase) (TL-PST)	SULT1A3 STM	Homo sapiens (Human)	295
P51692	STA5B_HUMAN	reviewed	Signal transducer and activator of transcription 5B	STAT5B	Homo sapiens (Human)	787
Q6IMI6	ST1C3_HUMAN	reviewed	Sulfotransferase 1C3 (ST1C3) (EC 2.8.2.2)	SULT1C3	Homo sapiens (Human)	304
Q13285	STF1_HUMAN	reviewed	Steroidogenic factor 1 (SF-1) (STF-1) (hSF-1) (Adrenal 4-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP)	NR5A1 AD4BP FTZF1 SF1	Homo sapiens (Human)	461
Q8IWU6	SULF1_HUMAN	reviewed	Extracellular sulfatase Sulf-1 (hSulf-1) (EC 3.1.6.-)	SULF1 KIAA1077	Homo sapiens (Human)	871
B1AH88	TSPOB_HUMAN	reviewed	Putative peripheral benzodiazepine receptor-related protein	TSPO PBRS	Homo sapiens (Human)	102
O75896	TUSC2_HUMAN	reviewed	Tumor suppressor candidate 2 (Fusion 1 protein) (Fus-1 protein) (PDGFA-associated protein 2)	TUSC2 C3orf11 FUS1 LGCC PDAP2	Homo sapiens (Human)	110
Q9NUV7	SPTC3_HUMAN	reviewed	Serine palmitoyltransferase 3 (EC 2.3.1.50) (Long chain base biosynthesis protein 2b) (LCB2b) (Long chain base biosynthesis protein 3) (LCB 3) (Serine-palmitoyl-CoA transferase 3) (SPT 3)	SPTLC3 C20orf38 SPTLC2L	Homo sapiens (Human)	552
Q969W0	SPTSA_HUMAN	reviewed	Serine palmitoyltransferase small subunit A (Small subunit of serine palmitoyltransferase A) (ssSPTa)	SPTSSA C14orf147 SSSPTA	Homo sapiens (Human)	71
P21549	SPYA_HUMAN	reviewed	Serine--pyruvate aminotransferase (SPT) (EC 2.6.1.51) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44)	AGXT AGT1 SPAT	Homo sapiens (Human)	392
P12931	SRC_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536
Q9UEE5	ST17A_HUMAN	reviewed	Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)	STK17A DRAK1	Homo sapiens (Human)	414
Q6IMI4	ST6B1_HUMAN	reviewed	Sulfotransferase 6B1 (ST6B1) (Thyroxine sulfotransferase) (EC 2.8.2.n2)	SULT6B1	Homo sapiens (Human)	303
O00204	ST2B1_HUMAN	reviewed	Sulfotransferase family cytosolic 2B member 1 (ST2B1) (Sulfotransferase 2B1) (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2)	SULT2B1 HSST2	Homo sapiens (Human)	365
P50226	ST1A2_HUMAN	reviewed	Sulfotransferase 1A2 (ST1A2) (EC 2.8.2.1) (Aryl sulfotransferase 2) (Phenol sulfotransferase 2) (Phenol-sulfating phenol sulfotransferase 2) (P-PST 2)	SULT1A2 STP2	Homo sapiens (Human)	295
Q9BR01	ST4A1_HUMAN	reviewed	Sulfotransferase 4A1 (ST4A1) (EC 2.8.2.-) (Brain sulfotransferase-like protein) (hBR-STL) (hBR-STL-1) (Nervous system sulfotransferase) (NST)	SULT4A1 SULTX3	Homo sapiens (Human)	284
Q96I99	SUCB2_HUMAN	reviewed	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial (EC 6.2.1.4) (GTP-specific succinyl-CoA synthetase subunit beta) (G-SCS) (GTPSCS) (Succinyl-CoA synthetase beta-G chain) (SCS-betaG)	SUCLG2	Homo sapiens (Human)	432
