Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P13489	RINI_HUMAN	reviewed	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	RNH1 PRI RNH	Homo sapiens (Human)	461
Q5VV67	PPRC1_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 (PGC-1-related coactivator) (PRC)	PPRC1 KIAA0595	Homo sapiens (Human)	1664
Q9BRS2	RIOK1_HUMAN	reviewed	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)	RIOK1 RIO1	Homo sapiens (Human)	568
Q8IUF8	RIOX2_HUMAN	reviewed	Ribosomal oxygenase 2 (60S ribosomal protein L27a histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA) (EC 1.14.11.-) (Histone lysine demethylase MINA) (MYC-induced nuclear antigen) (Mineral dust-induced gene protein) (Nucleolar protein 52) (Ribosomal oxygenase MINA) (ROX)	RIOX2 MDIG MINA MINA53 NO52	Homo sapiens (Human)	465
Q9GZV8	PRD14_HUMAN	reviewed	PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14)	PRDM14	Homo sapiens (Human)	571
Q96MT3	PRIC1_HUMAN	reviewed	Prickle-like protein 1 (REST/NRSF-interacting LIM domain protein 1)	PRICKLE1 RILP	Homo sapiens (Human)	831
Q8NAV1	PR38A_HUMAN	reviewed	Pre-mRNA-splicing factor 38A	PRPF38A	Homo sapiens (Human)	312
P78562	PHEX_HUMAN	reviewed	Phosphate-regulating neutral endopeptidase PHEX (EC 3.4.24.-) (Metalloendopeptidase homolog PEX) (Vitamin D-resistant hypophosphatemic rickets protein) (X-linked hypophosphatemia protein) (HYP)	PHEX PEX	Homo sapiens (Human)	749
P00439	PH4H_HUMAN	reviewed	Phenylalanine-4-hydroxylase (PAH) (EC 1.14.16.1) (Phe-4-monooxygenase)	PAH	Homo sapiens (Human)	452
Q9UPP1	PHF8_HUMAN	reviewed	Histone lysine demethylase PHF8 (EC 1.14.11.27) (PHD finger protein 8)	PHF8 KIAA1111 ZNF422	Homo sapiens (Human)	1060
Q9Y6X2	PIAS3_HUMAN	reviewed	E3 SUMO-protein ligase PIAS3 (EC 2.3.2.-) (E3 SUMO-protein transferase PIAS3) (Protein inhibitor of activated STAT protein 3)	PIAS3	Homo sapiens (Human)	628
Q99570	PI3R4_HUMAN	reviewed	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	PIK3R4 VPS15	Homo sapiens (Human)	1358
Q9UKL6	PPCT_HUMAN	reviewed	Phosphatidylcholine transfer protein (PC-TP) (START domain-containing protein 2) (StARD2) (StAR-related lipid transfer protein 2)	PCTP STARD2	Homo sapiens (Human)	214
P45877	PPIC_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (Rotamase C)	PPIC CYPC	Homo sapiens (Human)	212
Q86WC6	PPR27_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 27 (Dysferlin-interacting protein 1) (Toonin)	PPP1R27 DYSFIP1	Homo sapiens (Human)	154
O96001	PPR17_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 17 (G-substrate)	PPP1R17 C7orf16 GSBS	Homo sapiens (Human)	155
Q8TAP8	PPR35_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 35	PPP1R35 C7orf47	Homo sapiens (Human)	253
O95685	PPR3D_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3D (Protein phosphatase 1 regulatory subunit 6) (PP1 subunit R6) (Protein phosphatase 1-binding subunit R6)	PPP1R3D PPP1R6	Homo sapiens (Human)	299
Q9H7J1	PPR3E_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3E	PPP1R3E	Homo sapiens (Human)	279
Q7Z4L9	PPR42_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 42 (Leucine-rich repeat-containing protein 67)	PPP1R42 LRRC67	Homo sapiens (Human)	309
Q5SWL8	PRA19_HUMAN	reviewed	PRAME family member 19	PRAMEF19	Homo sapiens (Human)	479
Q5VT98	PRA20_HUMAN	reviewed	PRAME family member 20	PRAMEF20 PRAMEF21	Homo sapiens (Human)	475
Q6NWY9	PR40B_HUMAN	reviewed	Pre-mRNA-processing factor 40 homolog B (Huntingtin yeast partner C) (Huntingtin-interacting protein C)	PRPF40B HYPC	Homo sapiens (Human)	871
O60813	PRA11_HUMAN	reviewed	PRAME family member 11	PRAMEF11	Homo sapiens (Human)	478
Q5VWM3	PRA18_HUMAN	reviewed	PRAME family member 18	PRAMEF18	Homo sapiens (Human)	479
Q96NZ9	PRAP1_HUMAN	reviewed	Proline-rich acidic protein 1 (Epididymis tissue protein Li 178) (Uterine-specific proline-rich acidic protein)	PRAP1 UPA UNQ608/PRO1195	Homo sapiens (Human)	151
Q9H4Q3	PRD13_HUMAN	reviewed	PR domain zinc finger protein 13 (EC 2.1.1.-) (PR domain-containing protein 13)	PRDM13 PFM10	Homo sapiens (Human)	707
Q53H76	PLA1A_HUMAN	reviewed	Phospholipase A1 member A (EC 3.1.1.-) (Phosphatidylserine-specific phospholipase A1) (PS-PLA1)	PLA1A NMD PSPLA1	Homo sapiens (Human)	456
Q496M5	PLK5_HUMAN	reviewed	Inactive serine/threonine-protein kinase PLK5 (Polo-like kinase 5) (PLK-5)	PLK5 PLK5P FG060302	Homo sapiens (Human)	336
O60568	PLOD3_HUMAN	reviewed	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]	PLOD3	Homo sapiens (Human)	738
Q0VAA5	PLCX2_HUMAN	reviewed	PI-PLC X domain-containing protein 2	PLCXD2	Homo sapiens (Human)	305
Q13670	PM2PB_HUMAN	reviewed	Putative postmeiotic segregation increased 2-like protein 11 (PMS2-related protein 6) (Putative postmeiotic segregation increased 2 pseudogene 11)	PMS2P11 PMS2L11 PMSR6	Homo sapiens (Human)	270
Q9UD71	PPR1B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 1B (DARPP-32) (Dopamine- and cAMP-regulated neuronal phosphoprotein)	PPP1R1B DARPP32	Homo sapiens (Human)	204
Q8WVI7	PPR1C_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 1C (Inhibitor-5 of protein phosphatase 1) (IPP5)	PPP1R1C	Homo sapiens (Human)	109
O00743	PPP6_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	PPP6C PPP6	Homo sapiens (Human)	305
Q5R3F8	PPR29_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 29 (Extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2) (Leucine-rich repeat and fibronectin type-III domain-containing protein 6) (Leucine-rich repeat-containing protein 62)	ELFN2 KIAA1904 LRRC62 PPP1R29	Homo sapiens (Human)	820
O75864	PPR37_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 37 (Leucine-rich repeat-containing protein 68)	PPP1R37 KIAA1986 LRRC68	Homo sapiens (Human)	691
Q16821	PPR3A_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1)	PPP1R3A PP1G	Homo sapiens (Human)	1122
Q86XI6	PPR3B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3B (Hepatic glycogen-targeting protein phosphatase 1 regulatory subunit GL) (Protein phosphatase 1 regulatory subunit 4) (PP1 subunit R4) (Protein phosphatase 1 subunit GL) (PTG)	PPP1R3B PPP1R4	Homo sapiens (Human)	285
Q06587	RING1_HUMAN	reviewed	E3 ubiquitin-protein ligase RING1 (EC 2.3.2.27) (Polycomb complex protein RING1) (RING finger protein 1) (RING-type E3 ubiquitin transferase RING1) (Really interesting new gene 1 protein)	RING1 RNF1	Homo sapiens (Human)	406
Q6ZSY5	PPR3F_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3F (R3F)	PPP1R3F	Homo sapiens (Human)	799
Q9BVS4	RIOK2_HUMAN	reviewed	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2)	RIOK2 RIO2	Homo sapiens (Human)	552
O60828	PQBP1_HUMAN	reviewed	Polyglutamine-binding protein 1 (PQBP-1) (38 kDa nuclear protein containing a WW domain) (Npw38) (Polyglutamine tract-binding protein 1)	PQBP1 NPW38 JM26	Homo sapiens (Human)	265
O75400	PR40A_HUMAN	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Homo sapiens (Human)	957
O75915	PRAF3_HUMAN	reviewed	PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5) (Cytoskeleton-related vitamin A-responsive protein) (Dermal papilla-derived protein 11) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (JM5) (Prenylated Rab acceptor protein 2) (Protein JWa) (Putative MAPK-activating protein PM27)	ARL6IP5 DERP11 JWA PRA2 PRAF3 HSPC127	Homo sapiens (Human)	188
Q5SWA1	PR15B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 15B	PPP1R15B	Homo sapiens (Human)	713
O95522	PRA12_HUMAN	reviewed	PRAME family member 12	PRAMEF12	Homo sapiens (Human)	483
Q5VWM6	PRA13_HUMAN	reviewed	Putative PRAME family member 13	PRAMEF13	Homo sapiens (Human)	474
O60810	PRAM4_HUMAN	reviewed	PRAME family member 4	PRAMEF4	Homo sapiens (Human)	478
P30048	PRDX3_HUMAN	reviewed	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (Antioxidant protein 1) (AOP-1) (HBC189) (Peroxiredoxin III) (Prx-III) (Peroxiredoxin-3) (Protein MER5 homolog)	PRDX3 AOP1	Homo sapiens (Human)	256
P30044	PRDX5_HUMAN	reviewed	Peroxiredoxin-5, mitochondrial (EC 1.11.1.15) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20)	PRDX5 ACR1 SBBI10	Homo sapiens (Human)	214
Q9NRG1	PRDC1_HUMAN	reviewed	Phosphoribosyltransferase domain-containing protein 1	PRTFDC1 HHGP	Homo sapiens (Human)	225
Q9NQX1	PRDM5_HUMAN	reviewed	PR domain zinc finger protein 5 (EC 2.1.1.-) (PR domain-containing protein 5)	PRDM5 PFM2	Homo sapiens (Human)	630
Q92786	PROX1_HUMAN	reviewed	Prospero homeobox protein 1 (Homeobox prospero-like protein PROX1) (PROX-1)	PROX1	Homo sapiens (Human)	737
Q3B8N5	PROX2_HUMAN	reviewed	Prospero homeobox protein 2 (Homeobox prospero-like protein PROX2) (PROX-2)	PROX2	Homo sapiens (Human)	592
O43172	PRP4_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)	PRPF4 PRP4	Homo sapiens (Human)	522
P60891	PRPS1_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	PRPS1	Homo sapiens (Human)	318
Q9BQR3	PRS27_HUMAN	reviewed	Serine protease 27 (EC 3.4.21.-) (Marapsin) (Pancreasin)	PRSS27 MPN UNQ1884/PRO4327	Homo sapiens (Human)	290
P11908	PRPS2_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II)	PRPS2	Homo sapiens (Human)	318
A4D1T9	PRS37_HUMAN	reviewed	Probable inactive serine protease 37 (Probable inactive trypsin-X2)	PRSS37 TRYX2	Homo sapiens (Human)	235
A1L453	PRS38_HUMAN	reviewed	Serine protease 38 (EC 3.4.21.-) (Marapsin-2)	PRSS38 MPN2	Homo sapiens (Human)	326
P49763	PLGF_HUMAN	reviewed	Placenta growth factor (PlGF)	PGF PGFL PLGF	Homo sapiens (Human)	221
Q6P1J6	PLB1_HUMAN	reviewed	Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Phospholipase B/lipase) (PLB/LIP) [Includes: Phospholipase A2 (EC 3.1.1.4); Lysophospholipase (EC 3.1.1.5)]	PLB1 PLB	Homo sapiens (Human)	1458
Q96BZ4	PLD4_HUMAN	reviewed	Phospholipase D4 (PLD 4) (EC 3.1.4.4) (Choline phosphatase 4) (Phosphatidylcholine-hydrolyzing phospholipase D4)	PLD4 C14orf175 UNQ2488/PRO5775	Homo sapiens (Human)	506
O15120	PLCB_HUMAN	reviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 2) (1-AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase beta) (LPAAT-beta)	AGPAT2	Homo sapiens (Human)	278
Q9BRC7	PLCD4_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 (hPLCD4) (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-4) (Phospholipase C-delta-4) (PLC-delta-4)	PLCD4	Homo sapiens (Human)	762
O00168	PLM_HUMAN	reviewed	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	FXYD1 PLM	Homo sapiens (Human)	92
Q7Z2D5	PLPR4_HUMAN	reviewed	Phospholipid phosphatase-related protein type 4 (EC 3.1.3.4) (Brain-specific phosphatidic acid phosphatase-like protein 1) (Lipid phosphate phosphatase-related protein type 4) (Plasticity-related gene 1 protein) (PRG-1)	PLPPR4 KIAA0455 LPPR4 PHP1 PRG1	Homo sapiens (Human)	763
Q13401	PM2P3_HUMAN	reviewed	Putative postmeiotic segregation increased 2-like protein 3 (PMS2-related protein 3) (Postmeiotic segregation increased 2-like protein 9) (Postmeiotic segregation increased protein 5) (Putative postmeiotic segregation increased 2 pseudogene 3)	PMS2P3 PMS2L3 PMS2L9 PMS5 PMSR3	Homo sapiens (Human)	168
Q7Z3K3	POGZ_HUMAN	reviewed	Pogo transposable element with ZNF domain (Suppressor of hairy wing homolog 5) (Zinc finger protein 280E) (Zinc finger protein 635)	POGZ KIAA0461 SUHW5 ZNF280E ZNF635 Nbla00003	Homo sapiens (Human)	1410
P63133	POK8_HUMAN	reviewed	Endogenous retrovirus group K member 8 Pol protein (HERV-K115 Pol protein) (HERV-K_8p23.1 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	ERVK-8	Homo sapiens (Human)	956
O75817	POP7_HUMAN	reviewed	Ribonuclease P protein subunit p20 (RNaseP protein p20) (EC 3.1.26.5) (Ribonucleases P/MRP protein subunit POP7 homolog) (hPOP7)	POP7 RPP20	Homo sapiens (Human)	140
O75688	PPM1B_HUMAN	reviewed	Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta)	PPM1B PP2CB	Homo sapiens (Human)	479
O15297	PPM1D_HUMAN	reviewed	Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1)	PPM1D WIP1	Homo sapiens (Human)	605
Q8WY54	PPM1E_HUMAN	reviewed	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)	PPM1E CAMKN KIAA1072 POPX1	Homo sapiens (Human)	755
P49593	PPM1F_HUMAN	reviewed	Protein phosphatase 1F (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase) (CaM-kinase phosphatase) (CaMKPase) (Partner of PIX 2) (Protein fem-2 homolog) (hFem-2)	PPM1F KIAA0015 POPX2	Homo sapiens (Human)	454
Q5JR12	PPM1J_HUMAN	reviewed	Protein phosphatase 1J (EC 3.1.3.16) (Protein phosphatase 2C isoform zeta) (PP2C-zeta)	PPM1J PPP2CZ	Homo sapiens (Human)	505
Q8N3J5	PPM1K_HUMAN	reviewed	Protein phosphatase 1K, mitochondrial (EC 3.1.3.16) (PP2C domain-containing protein phosphatase 1K) (PP2C-like mitochondrial protein) (PP2C-type mitochondrial phosphoprotein phosphatase) (PTMP) (Protein phosphatase 2C isoform kappa) (PP2C-kappa)	PPM1K PP2CM	Homo sapiens (Human)	372
Q5SGD2	PPM1L_HUMAN	reviewed	Protein phosphatase 1L (EC 3.1.3.16) (Protein phosphatase 1-like) (Protein phosphatase 2C isoform epsilon) (PP2C-epsilon)	PPM1L PP2CE	Homo sapiens (Human)	360
Q8N819	PPM1N_HUMAN	reviewed	Probable protein phosphatase 1N (EC 3.1.3.16)	PPM1N	Homo sapiens (Human)	430
O95428	PPN_HUMAN	reviewed	Papilin	PAPLN UNQ2420/PRO4977	Homo sapiens (Human)	1278
P53041	PPP5_HUMAN	reviewed	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5	Homo sapiens (Human)	499
Q13522	PPR1A_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 1A (Protein phosphatase inhibitor 1) (I-1) (IPP-1)	PPP1R1A IPP1	Homo sapiens (Human)	171
Q5T8A7	PPR26_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 26	PPP1R26 KIAA0649	Homo sapiens (Human)	1209
Q9UQ26	RIMS2_HUMAN	reviewed	Regulating synaptic membrane exocytosis protein 2 (Rab-3-interacting molecule 2) (RIM 2) (Rab-3-interacting protein 3)	RIMS2 KIAA0751 RAB3IP3 RIM2	Homo sapiens (Human)	1411
Q96LQ0	PPR36_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 36	PPP1R36 C14orf50	Homo sapiens (Human)	422
Q99496	RING2_HUMAN	reviewed	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (Huntingtin-interacting protein 2-interacting protein 3) (HIP2-interacting protein 3) (Protein DinG) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING finger protein BAP-1) (RING-type E3 ubiquitin transferase RING2)	RNF2 BAP1 DING HIPI3 RING1B	Homo sapiens (Human)	336
Q8NI37	PPTC7_HUMAN	reviewed	Protein phosphatase PTC7 homolog (EC 3.1.3.16) (T-cell activation protein phosphatase 2C) (TA-PP2C) (T-cell activation protein phosphatase 2C-like)	PPTC7 TAPP2C	Homo sapiens (Human)	304
Q13546	RIPK1_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)	RIPK1 RIP RIP1	Homo sapiens (Human)	671
A3QJZ6	PRA22_HUMAN	reviewed	PRAME family member 22	PRAMEF22	Homo sapiens (Human)	481
O75807	PR15A_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog)	PPP1R15A GADD34	Homo sapiens (Human)	674
Q9BXM0	PRAX_HUMAN	reviewed	Periaxin	PRX KIAA1620	Homo sapiens (Human)	1461
O75626	PRDM1_HUMAN	reviewed	PR domain zinc finger protein 1 (EC 2.1.1.-) (BLIMP-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1) (Positive regulatory domain I-binding factor 1) (PRDI-BF1) (PRDI-binding factor 1)	PRDM1 BLIMP1	Homo sapiens (Human)	825
Q9NQV5	PRD11_HUMAN	reviewed	PR domain-containing protein 11 (EC 2.1.1.-)	PRDM11 PFM8	Homo sapiens (Human)	511
Q9NQW5	PRDM7_HUMAN	reviewed	Probable histone-lysine N-methyltransferase PRDM7 (EC 2.1.1.43) (PR domain zinc finger protein 7) (PR domain-containing protein 7)	PRDM7 PFM4	Homo sapiens (Human)	492
Q86YN6	PRGC2_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma coactivator 1-beta (PGC-1-beta) (PPAR-gamma coactivator 1-beta) (PPARGC-1-beta) (PGC-1-related estrogen receptor alpha coactivator)	PPARGC1B PERC PGC1 PGC1B PPARGC1	Homo sapiens (Human)	1023
P32119	PRDX2_HUMAN	reviewed	Peroxiredoxin-2 (EC 1.11.1.15) (Natural killer cell-enhancing factor B) (NKEF-B) (PRP) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)	PRDX2 NKEFB TDPX1	Homo sapiens (Human)	198
Q9P215	POGK_HUMAN	reviewed	Pogo transposable element with KRAB domain	POGK KIAA1513 LST003 SLTP003	Homo sapiens (Human)	609
Q03052	PO3F1_HUMAN	reviewed	POU domain, class 3, transcription factor 1 (Octamer-binding protein 6) (Oct-6) (Octamer-binding transcription factor 6) (OTF-6) (POU domain transcription factor SCIP)	POU3F1 OCT6 OTF6	Homo sapiens (Human)	451
Q9H237	PORCN_HUMAN	reviewed	Protein-serine O-palmitoleoyltransferase porcupine (EC 2.3.1.-) (Protein MG61)	PORCN MG61 PORC PPN	Homo sapiens (Human)	461
Q9H8P0	PORED_HUMAN	reviewed	Polyprenol reductase (EC 1.3.1.94) (3-oxo-5-alpha-steroid 4-dehydrogenase 3) (EC 1.3.1.22) (Steroid 5-alpha-reductase 2-like) (Steroid 5-alpha-reductase 3) (S5AR 3) (SR type 3)	SRD5A3 SRD5A2L	Homo sapiens (Human)	318
Q9NUX5	POTE1_HUMAN	reviewed	Protection of telomeres protein 1 (hPot1) (POT1-like telomere end-binding protein)	POT1	Homo sapiens (Human)	634
Q8TAE6	PP14C_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 14C (Kinase-enhanced PP1 inhibitor) (PKC-potentiated PP1 inhibitory protein) (Serologically defined breast cancer antigen NY-BR-81)	PPP1R14C KEPI	Homo sapiens (Human)	165
Q9NXH3	PP14D_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 14D (Gastrointestinal and brain-specific PP1-inhibitory protein 1) (GBPI-1)	PPP1R14D GBPI	Homo sapiens (Human)	145
B7ZBB8	PP13G_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 3G	PPP1R3G	Homo sapiens (Human)	358
Q9UHV8	PP13_HUMAN	reviewed	Galactoside-binding soluble lectin 13 (Galectin-13) (Gal-13) (Placental tissue protein 13) (PP13) (Placental protein 13)	LGALS13 PLAC8	Homo sapiens (Human)	139
Q96C90	PP14B_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 14B (Phospholipase C-beta-3 neighbouring gene protein)	PPP1R14B PLCB3N PNG	Homo sapiens (Human)	147
Q4ADV7	RIC1_HUMAN	reviewed	RAB6A-GEF complex partner protein 1 (Connexin-43-interacting protein of 150 kDa) (Protein RIC1 homolog)	RIC1 CIP150 KIAA1432	Homo sapiens (Human)	1423
Q15435	PP1R7_HUMAN	reviewed	Protein phosphatase 1 regulatory subunit 7 (Protein phosphatase 1 regulatory subunit 22)	PPP1R7 SDS22	Homo sapiens (Human)	360
