#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Fgfr2	Hras1	2112234	2096663	10090.ENSMUSP00000112430	10090.ENSMUSP00000026572	0	0	0	0	0.046	0.199	0.849	0.479	0.931
Kdr	Flt1	2111815	2098262	10090.ENSMUSP00000109144	10090.ENSMUSP00000031653	0	0	0	0.909	0.134	0.676	0.528	0.977	0.868
Fgfr3	Fgfr2	2114405	2112234	10090.ENSMUSP00000133064	10090.ENSMUSP00000112430	0	0	0	0.973	0.077	0.111	0.800	0.739	0.825
Fgfr3	Fgfr1	2114405	2107270	10090.ENSMUSP00000133064	10090.ENSMUSP00000081041	0	0	0	0.972	0	0	0.800	0.800	0.804
Fgfr2	Fgfr1	2112234	2107270	10090.ENSMUSP00000112430	10090.ENSMUSP00000081041	0	0	0	0.979	0	0	0.800	0.802	0.803
Kdr	Hras1	2111815	2096663	10090.ENSMUSP00000109144	10090.ENSMUSP00000026572	0	0	0	0	0.046	0.167	0.276	0.648	0.770
Flt1	Hras1	2098262	2096663	10090.ENSMUSP00000031653	10090.ENSMUSP00000026572	0	0	0	0	0.046	0.167	0.276	0.643	0.767
Fgfr1	Sdc4	2107270	2094404	10090.ENSMUSP00000081041	10090.ENSMUSP00000017153	0	0	0	0	0	0.048	0.528	0.329	0.672
Mapk3	Sdc4	2102406	2094404	10090.ENSMUSP00000051619	10090.ENSMUSP00000017153	0	0	0	0	0	0	0.528	0.246	0.628
Mapk1	Sdc4	2095837	2094404	10090.ENSMUSP00000023462	10090.ENSMUSP00000017153	0	0	0	0	0	0	0.528	0.169	0.591
Kdr	Mapk3	2111815	2102406	10090.ENSMUSP00000109144	10090.ENSMUSP00000051619	0	0	0	0.639	0.051	0.315	0.183	0.656	0.556
Mapk3	Flt1	2102406	2098262	10090.ENSMUSP00000051619	10090.ENSMUSP00000031653	0	0	0	0.640	0.051	0.315	0.183	0.593	0.542
Kdr	Mapk1	2111815	2095837	10090.ENSMUSP00000109144	10090.ENSMUSP00000023462	0	0	0	0.650	0.051	0.315	0.183	0.479	0.514
Fgfr2	Mapk3	2112234	2102406	10090.ENSMUSP00000112430	10090.ENSMUSP00000051619	0	0	0	0.636	0.051	0.315	0.183	0.459	0.514
Fgfr3	Mapk3	2114405	2102406	10090.ENSMUSP00000133064	10090.ENSMUSP00000051619	0	0	0	0.635	0.051	0.315	0.183	0.455	0.513
Flt1	Mapk1	2098262	2095837	10090.ENSMUSP00000031653	10090.ENSMUSP00000023462	0	0	0	0.646	0.051	0.315	0.183	0.414	0.502
Fgfr2	Mapk1	2112234	2095837	10090.ENSMUSP00000112430	10090.ENSMUSP00000023462	0	0	0	0.634	0.051	0.315	0.183	0.361	0.493
Fgfr3	Mapk1	2114405	2095837	10090.ENSMUSP00000133064	10090.ENSMUSP00000023462	0	0	0	0.635	0.051	0.315	0.183	0.361	0.493
Sdc4	Fgfr4	2094404	2093697	10090.ENSMUSP00000017153	10090.ENSMUSP00000005452	0	0	0	0	0	0.048	0.372	0.171	0.461
Fgfr2	Sdc4	2112234	2094404	10090.ENSMUSP00000112430	10090.ENSMUSP00000017153	0	0	0	0	0	0.048	0.372	0.154	0.450
Fgfr3	Sdc4	2114405	2094404	10090.ENSMUSP00000133064	10090.ENSMUSP00000017153	0	0	0	0	0	0.048	0.372	0.118	0.427
Fgfr1	Flt1	2107270	2098262	10090.ENSMUSP00000081041	10090.ENSMUSP00000031653	0	0	0	0.775	0	0.347	0	0.564	0.427
Fgfr2	Flt1	2112234	2098262	10090.ENSMUSP00000112430	10090.ENSMUSP00000031653	0	0	0	0.752	0	0.347	0	0.406	0.408
Kdr	Sdc4	2111815	2094404	10090.ENSMUSP00000109144	10090.ENSMUSP00000017153	0	0	0	0	0	0.048	0.264	0.223	0.408
