#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Irs2	Ins2	2100009	2093077	10090.ENSMUSP00000038514	10090.ENSMUSP00000000220	0	0	0	0	0	0	0.936	0.771	0.984
Pik3ca	Grb2	2097448	2095072	10090.ENSMUSP00000029201	10090.ENSMUSP00000021090	0	0	0	0	0.048	0.099	0.950	0.643	0.982
Pik3ca	Igf1r	2097448	2093723	10090.ENSMUSP00000029201	10090.ENSMUSP00000005671	0	0	0	0	0.055	0.114	0.901	0.729	0.974
Irs1	Irs2	2104432	2100009	10090.ENSMUSP00000063795	10090.ENSMUSP00000038514	0	0	0	0.787	0	0.463	0.941	0.952	0.973
Igf1r	Ins2	2093723	2093077	10090.ENSMUSP00000005671	10090.ENSMUSP00000000220	0	0	0	0	0	0.502	0.883	0.528	0.970
Igf1	Ins2	2103282	2093077	10090.ENSMUSP00000056668	10090.ENSMUSP00000000220	0	0	0	0	0.050	0	0.800	0.853	0.969
Irs2	Hras1	2100009	2096663	10090.ENSMUSP00000038514	10090.ENSMUSP00000026572	0	0	0	0	0	0	0.929	0.552	0.966
Pik3r1	Igf1r	2103300	2093723	10090.ENSMUSP00000056774	10090.ENSMUSP00000005671	0	0	0	0	0	0.418	0.901	0.468	0.966
Shc1	Igf1r	2108594	2093723	10090.ENSMUSP00000091940	10090.ENSMUSP00000005671	0	0	0	0	0.076	0.191	0.901	0.578	0.964
Grb2	Igf1r	2095072	2093723	10090.ENSMUSP00000021090	10090.ENSMUSP00000005671	0	0	0	0	0.051	0.181	0.901	0.588	0.964
Hras1	Igf1r	2096663	2093723	10090.ENSMUSP00000026572	10090.ENSMUSP00000005671	0	0	0	0	0.046	0.167	0.867	0.692	0.963
Igf2	Grb2	2112474	2095072	10090.ENSMUSP00000114076	10090.ENSMUSP00000021090	0	0	0	0	0	0	0.900	0.624	0.960
Igf2	Irs2	2112474	2100009	10090.ENSMUSP00000114076	10090.ENSMUSP00000038514	0	0	0	0	0	0	0.900	0.510	0.948
Irs1	Igf1	2104432	2103282	10090.ENSMUSP00000063795	10090.ENSMUSP00000056668	0	0	0	0	0	0	0.440	0.888	0.934
Shc1	Hras1	2108594	2096663	10090.ENSMUSP00000091940	10090.ENSMUSP00000026572	0	0	0	0	0.054	0.110	0.397	0.871	0.926
Shc1	Irs1	2108594	2104432	10090.ENSMUSP00000091940	10090.ENSMUSP00000063795	0	0	0	0	0	0.109	0.440	0.859	0.923
Igf1	Irs2	2103282	2100009	10090.ENSMUSP00000056668	10090.ENSMUSP00000038514	0	0	0	0	0	0	0.528	0.816	0.909
Shc1	Igf1	2108594	2103282	10090.ENSMUSP00000091940	10090.ENSMUSP00000056668	0	0	0	0	0	0	0.528	0.789	0.897
Igf1	Hras1	2103282	2096663	10090.ENSMUSP00000056668	10090.ENSMUSP00000026572	0	0	0	0	0	0	0.397	0.823	0.889
Irs1	Ins2	2104432	2093077	10090.ENSMUSP00000063795	10090.ENSMUSP00000000220	0	0	0	0	0	0	0.440	0.779	0.871
Igf1	Pik3ca	2103282	2097448	10090.ENSMUSP00000056668	10090.ENSMUSP00000029201	0	0	0	0	0	0	0.528	0.698	0.851
Pik3ca	Ins2	2097448	2093077	10090.ENSMUSP00000029201	10090.ENSMUSP00000000220	0	0	0	0	0	0	0.528	0.622	0.813
Grb2	Ins2	2095072	2093077	10090.ENSMUSP00000021090	10090.ENSMUSP00000000220	0	0	0	0	0	0	0.528	0.609	0.807
Shc1	Ins2	2108594	2093077	10090.ENSMUSP00000091940	10090.ENSMUSP00000000220	0	0	0	0	0	0	0.528	0.600	0.803
Shc1	Pik3r1	2108594	2103300	10090.ENSMUSP00000091940	10090.ENSMUSP00000056774	0	0	0	0	0	0.280	0.528	0.466	0.802
Igf2	Irs1	2112474	2104432	10090.ENSMUSP00000114076	10090.ENSMUSP00000063795	0	0	0	0	0.063	0	0	0.793	0.797
Shc1	Irs2	2108594	2100009	10090.ENSMUSP00000091940	10090.ENSMUSP00000038514	0	0	0	0	0	0.111	0.320	0.691	0.796
Igf2	Ins2	2112474	2093077	10090.ENSMUSP00000114076	10090.ENSMUSP00000000220	0	0	0	0	0	0	0	0.796	0.796
Shc1	Pik3ca	2108594	2097448	10090.ENSMUSP00000091940	10090.ENSMUSP00000029201	0	0	0	0	0.053	0.065	0.528	0.560	0.791
Irs1	Hras1	2104432	2096663	10090.ENSMUSP00000063795	10090.ENSMUSP00000026572	0	0	0	0	0	0	0.365	0.671	0.782
Igf1	Grb2	2103282	2095072	10090.ENSMUSP00000056668	10090.ENSMUSP00000021090	0	0	0	0	0	0	0.528	0.552	0.779
Pik3r1	Igf1	2103300	2103282	10090.ENSMUSP00000056774	10090.ENSMUSP00000056668	0	0	0	0	0	0	0.528	0.547	0.777
Igf2	Hras1	2112474	2096663	10090.ENSMUSP00000114076	10090.ENSMUSP00000026572	0	0	0	0	0	0	0	0.607	0.607
Pik3r1	Ins2	2103300	2093077	10090.ENSMUSP00000056774	10090.ENSMUSP00000000220	0	0	0	0	0	0	0.528	0.171	0.592
Hras1	Ins2	2096663	2093077	10090.ENSMUSP00000026572	10090.ENSMUSP00000000220	0	0	0	0	0	0	0.397	0.305	0.563
Igf2	Shc1	2112474	2108594	10090.ENSMUSP00000114076	10090.ENSMUSP00000091940	0	0	0	0	0	0	0	0.421	0.420
